Report_period_Q,Channel_label,n_policies,n_unique_customers,total_premium,total_claim_cost,total_claims,n_lapsed,n_extreme_claim,loss_ratio,claim_frequency,avg_claim_severity,lapse_rate,retention_rate_approx,trend_value,residual,anomaly_score,anomaly_flag,run_timestamp
2016Q3,Acente,4575,4575,126394568,73243963,2987,1028,3,0.58,0.65,24520.91,0.22,0.78,0.84,-0.26,5.37,True,20260805_013655
2016Q3,Broker,3733,3733,113388043,111410502,2656,1069,10,0.98,0.71,41946.73,0.29,0.71,0.7,0.28,5.12,True,20260805_013655
2016Q4,Acente,4234,4234,119058891,51768590,2166,936,2,0.43,0.51,23900.55,0.22,0.78,0.64,-0.2,2.49,True,20260805_013655
2016Q4,Broker,3276,3276,101118401,62514892,1962,941,7,0.62,0.6,31862.84,0.29,0.71,0.94,-0.32,3.5,True,20260805_013655
2017Q1,Acente,4084,4084,113052454,68469442,1587,956,6,0.61,0.39,43143.95,0.23,0.77,0.46,0.15,1.59,True,20260805_013655
2017Q1,Broker,3426,3426,104901635,41466936,1504,984,3,0.4,0.44,27571.1,0.29,0.71,0.72,-0.33,2.69,True,20260805_013655
2017Q2,Acente,4669,4669,126884070,44165741,1520,1111,5,0.35,0.33,29056.41,0.24,0.76,0.5,-0.15,1.58,True,20260805_013655
